# ID|hash_parola|tip_rol
STAFF-001|a24e2fbd189c99ba|STAFF
STAFF-002|7af1dd437a4aa9b3|STAFF
STAFF-003|b0019a31961e9c1d|STAFF
STAFF-004|5d0978a8dbe78d20|STAFF
STAFF-005|7a72e38fcde96e23|STAFF
STU-1001|b2de0613cb99cd1c|STUDENT
STU-1002|e22c821b14ff9ee1|STUDENT
STU-1003|6a7f4cbb96eeff2e|STUDENT
STU-1004|ed392cd954749f0f|STUDENT
STU-1005|c2594b41ea8b3627|STUDENT
STU-1006|ca11c88ee59ecc8e|STUDENT
STU-1007|b684fe9de59975a7|STUDENT
STU-1008|4777007c4298182a|STUDENT
STU-1009|3e94331c62962559|STUDENT
STU-1010|d66fc6f408dcf0b5|STUDENT
STU-1011|46e1babbd1339b41|STUDENT
STU-1012|2acb9869ec2724b8|STUDENT
STU-1013|5696a18ffbc2346a|STUDENT
STU-1014|067a251a028b52ab|STUDENT
STU-1015|df868c5c42eeb8b5|STUDENT
STU-1016|657ff32105dabe2f|STUDENT
STU-1017|70bbe34f3ab9459f|STUDENT
STU-1018|fd77c95bd21aa3d4|STUDENT
STU-1019|2df0546896476ab3|STUDENT
STU-1020|5f1f6a0f5599e4a8|STUDENT
STU-1021|da112ad9385f368c|STUDENT
STU-1022|3acdf6bf6bfd325d|STUDENT
STU-1023|2e6cfc4f1ba8cbaa|STUDENT
STU-1024|038d1ab7b1be0391|STUDENT
STU-1025|6bb45c87fffda08c|STUDENT
STU-1026|1debfe1cfc52b32b|STUDENT
STU-1027|fe13c280728fc733|STUDENT
STU-1028|157d895c6cab3bec|STUDENT
STU-1029|763a5542a0493a5b|STUDENT
STU-1030|433b25b52520a0a6|STUDENT
STU-1031|5aecb71de9514da4|STUDENT
STU-1032|290b3594d54a3b83|STUDENT
STU-1033|f3bffdd5b64914e9|STUDENT
STU-1034|d511d13ea74b618d|STUDENT
STU-1035|f2570759666cd868|STUDENT
STU-1036|78945a585dbe115b|STUDENT
STU-1037|46b2d8cf49b7dcee|STUDENT
STU-1038|61c4fc4ab9bceeb3|STUDENT
STU-1039|7f0a326578de6046|STUDENT
STU-1040|472abd6d509357db|STUDENT
STU-1041|646ff3880fb68279|STUDENT
STU-1042|0c666e845c8a149f|STUDENT
STU-1043|cbff19eff8085195|STUDENT
STU-1044|e944500ab72de50b|STUDENT
STU-1045|c1216276b350209e|STUDENT
STU-1046|7104e600ba1a85fd|STUDENT
STU-1047|157d33ec969b9d5b|STUDENT
STU-1048|c3eedde45888dcd2|STUDENT
STU-1049|a1c2843cd93982a2|STUDENT
STU-1050|3567fc42b9e09192|STUDENT
STU-1051|40a3ec70eec0aa32|STUDENT
STU-1052|c69d5335b1aa15b7|STUDENT
STU-1053|feb3ce074b0233e9|STUDENT
STU-1054|5f7099ed7ea22d47|STUDENT
STU-1055|77222b5642d48b17|STUDENT
STU-1056|390ef4ccd3e01976|STUDENT
STU-1057|2ebe2c2d44b18dff|STUDENT
STU-1058|96a2e94192554d77|STUDENT
STU-1059|671585c373d9d361|STUDENT
STU-1060|10bc84124a194af0|STUDENT
BAS-2061|902d9816710f969a|BASIC
BAS-2062|2077b6f14b3e1dc5|BASIC
BAS-2063|051700b4ff8aedbc|BASIC
BAS-2064|46198601d2241f10|BASIC
BAS-2065|5a50eed51181426d|BASIC
BAS-2066|86a8d64b5ebd48a5|BASIC
BAS-2067|7c6b433056ecd927|BASIC
BAS-2068|7467ada82dc15bff|BASIC
BAS-2069|c797fed2dea7a8b7|BASIC
BAS-2070|ff968d4d762ecfbf|BASIC
BAS-2071|047677a8e0f6ea63|BASIC
BAS-2072|ff3a24a57b71a883|BASIC
BAS-2073|b85e0e6faa734ca3|BASIC
BAS-2074|3cb926879c556f83|BASIC
BAS-2075|8fe977b24d38948b|BASIC
BAS-2076|1d4b721e2f596957|BASIC
BAS-2077|cbd08be5eeb9318b|BASIC
BAS-2078|801b5f90ef15078b|BASIC
BAS-2079|e840bf1e41e6f8a4|BASIC
BAS-2080|d63d7f415c92f28a|BASIC
BAS-2081|b196dc7acd9f8a75|BASIC
BAS-2082|0d4ce1ff43ec2c8c|BASIC
BAS-2083|607d3329f4d06a87|BASIC
BAS-2084|6286d01f55e38042|BASIC
BAS-2085|9075409aae03d95d|BASIC
BAS-2086|98bfe208b02fefa0|BASIC
BAS-2087|830d2e16abafec92|BASIC
BAS-2088|f0c9329b3c5304f9|BASIC
BAS-2089|f33c431d0f2612eb|BASIC
BAS-2090|20cb16813a39deeb|BASIC
BAS-2091|8a57ea2794c7e4d9|BASIC
BAS-2092|68b86ed05315acee|BASIC
BAS-2093|d0ddce5da5e93fbd|BASIC
BAS-2094|7d8cbaaf2253c891|BASIC
BAS-2095|968b6298a1fd7ee6|BASIC
BAS-2096|8c4dcf7d9a2d3776|BASIC
BAS-2097|07cc6e97ba90708d|BASIC
BAS-2098|989b1f7eea8b5892|BASIC
BAS-2099|eb726ca7e43c0b45|BASIC
BAS-2100|880e5bdc79da6f9f|BASIC
BAS-2101|e33b878b9e066f5b|BASIC
BAS-2102|bcf3d01e713ce7b3|BASIC
BAS-2103|e072450a0b57ec58|BASIC
BAS-2104|ae1c83d9a10d6db7|BASIC
BAS-2105|30feb14368bcea0b|BASIC
BAS-2106|1b0911f3bc409b0c|BASIC
BAS-2107|623bc8e5ea36616c|BASIC
BAS-2108|159148bc08518f78|BASIC
BAS-2109|2b11c39517a804e1|BASIC
BAS-2110|f5ae9f7ef6d644e1|BASIC
BAS-2111|4d336e8ea51b49df|BASIC
BAS-2112|62b3e967b4724746|BASIC
BAS-2113|f8d0535df481172a|BASIC
BAS-2114|18146adca8206c33|BASIC
BAS-2115|08584ad7282a7233|BASIC
BAS-2116|da3ce713a4583455|BASIC
BAS-2117|056abf8476cda381|BASIC
BAS-2118|12277d2e570c06a9|BASIC
BAS-2119|94e561c70010695a|BASIC
BAS-2120|2ed7fff20e413ec2|BASIC
BAS-2121|5a05d862e0b5389e|BASIC
BAS-2122|ed3a1dea28b5c889|BASIC
BAS-2123|f18662555cdb4afa|BASIC
BAS-2124|a8d41ea948e6839f|BASIC
